324	1,327,250,322	1
324	328,877,327,127	0
676	257,259,303,520	1
676	303,1234,250,9	0
862	603,141,405,201	1
862	603,120,203,405	0
342	488,1300,276,165	1
342	1300,833,1170,28	0
234	483,71,209,1170	1
234	483,1120,1170,216	0
130	420,407,1089,184	1
130	420,184,1079,407	0
148	194,190,418,163	1
148	1,177,501,78	0
642	259,940,722,1473	1
642	722,940,97,470	0
42	132,282,1051,121	1
42	432,222,1045,276	0
738	603,197,200,141	1
738	2,141,151,197	0
160	671,237,150,455	1
160	15,79,153,410	0
312	1039,435,154,837	1
312	837,1021,676,265	0
406	382,573,527,85	1
406	410,196,433,1101	0
387	223,561,569,152	1
387	663,430,561,569	0
695	991,312,338,301	1
695	312,300,323,264	0
608	1262,1183,736,199	1
608	1262,8,736,44	0
311	82,660,966,416	1
311	66,578,294,208	0
287	9,941,815,268	1
287	200,121,546,941	0
707	718,64,166,427	1
707	730,536,744,124	0
806	56,180,47,252	1
806	56,131,121,702	0
165	258,1119,260,176	1
165	176,260,216,304	0
851	250,1034,681,161	1
851	983,192,681,176	0
125	168,49,116,949	1
125	926,483,687,152	0
509	288,301,332,343	1
509	309,258,332,751	0
912	498,517,152,97	1
912	498,192,479,611	0
342	251,518,423,496	1
342	251,298,124,496	0
73	357,272,129,285	1
73	213,272,588,56	0
180	694,79,423,716	1
180	1046,79,762,739	0
694	211,617,485,385	1
694	211,606,485,163	0
168	25,930,325,323	1
168	7,685,924,284	0
59	179,432,229,7	1
59	229,369,274,432	0
566	693,12,144,161	1
566	684,235,144,122	0
844	12,117,2,175	1
844	255,71,2,22	0
130	158,1046,436,188	1
130	1215,276,329,374	0
708	866,328,597,685	1
708	328,473,1061,362	0
408	324,288,347,242	1
408	539,347,286,242	0
22	204,163,407,80	1
22	367,840,451,209	0
727	172,222,230,755	1
727	172,1224,483,230	0
416	658,1300,274,252	1
416	49,713,472,88	0
780	318,208,98,294	1
780	183,510,660,508	0
7	443,564,219,23	1
7	480,219,166,547	0
606	660,127,206,81	1
606	201,647,298,1518	0
686	98,234,79,430	1
686	265,588,11,204	0
639	707,661,58,286	1
639	193,792,990,511	0
865	919,546,118,328	1
865	472,111,928,763	0
331	682,132,182,32	1
331	682,182,277,32	0
16	127,546,92,692	1
16	629,583,947,693	0
531	990,457,289,300	1
531	990,327,332,892	0
479	200,248,931,283	1
479	200,121,164,182	0
200	358,934,141,107	1
200	358,291,934,1228	0
514	169,659,209,152	1
514	229,682,49,152	0
863	316,299,331,336	1
863	348,336,332,331	0
553	487,205,378,527	1
553	559,496,378,435	0
684	237,94,98,625	1
684	178,386,625,924	0
426	199,494,168,191	1
426	199,673,428,836	0
592	919,885,892,287	1
592	1011,533,969,892	0
305	171,485,212,61	1
305	131,749,222,237	0
484	651,183,463,143	1
484	419,98,161,183	0
694	50,237,193,489	1
694	50,193,449,489	0
365	100,294,235,125	1
365	277,1048,289,995	0
606	97,150,187,161	1
606	97,260,161,760	0
682	64,254,756,298	1
682	834,254,476,806	0
711	312,652,168,727	1
711	312,241,727,317	0
773	187,364,1071,384	1
773	364,288,145,1187	0
59	845,951,106,764	1
59	595,99,18,465	0
296	515,250,287,228	1
296	515,240,179,274	0
632	210,1028,68,131	1
632	210,1028,508,144	0
42	423,546,43,692	1
42	423,692,1046,143	0
331	59,479,491,215	1
331	59,475,277,933	0
538	199,11,202,12	1
538	183,162,164,96	0
493	257,151,410,881	1
493	257,886,91,151	0
42	2,282,785,183	1
42	521,660,410,433	0
283	1114,393,676,209	1
283	1114,588,393,409	0
629	137,876,504,632	1
629	137,504,632,690	0
270	475,928,335,563	1
270	97,443,553,722	0
393	173,298,824,396	1
393	405,815,463,821	0
94	183,204,496,581	1
94	183,470,206,603	0
295	47,229,121,227	1
295	997,172,403,570	0
328	272,177,383,561	1
328	561,356,443,665	0
299	543,169,318,88	1
299	25,496,345,88	0
779	95,1028,252,111	1
779	95,284,471,243	0
807	79,739,570,473	1
807	427,151,381,498	0
52	277,204,257,333	1
52	277,257,235,471	0
883	367,781,1009,83	1
883	568,781,1227,83	0
148	174,521,238,175	1
148	495,175,78,496	0
907	291,120,710,756	1
907	291,710,185,268	0
60	489,181,605,403	1
60	215,12,601,404	0
826	96,403,1,373	1
826	403,1091,1,624	0
75	1017,1150,831,508	1
75	1,1048,1151,1059	0
90	57,322,148,530	1
90	1134,322,530,1097	0
114	172,56,135,507	1
114	172,197,505,96	0
503	246,121,684,662	1
503	246,435,248,88	0
311	196,570,941,642	1
311	642,1042,559,127	0
844	181,919,255,175	1
844	90,423,45,418	0
741	427,651,69,17	1
741	226,131,790,48	0
936	249,827,1258,1	1
936	1,235,25,258	0
416	210,916,770,238	1
416	210,926,122,72	0
58	257,496,121,240	1
58	1063,123,497,318	0
338	582,211,525,435	1
338	211,486,606,189	0
189	207,1115,511,863	1
189	207,568,659,246	0
119	449,269,1086,124	1
119	121,332,717,147	0
378	98,99,67,736	1
378	99,930,132,258	0
923	333,264,928,689	1
923	264,928,685,282	0
848	1118,151,504,689	1
848	1118,504,121,1065	0
256	291,831,827,230	1
256	829,849,225,245	0
534	471,109,1034,243	1
534	235,109,1052,300	0
780	174,485,300,98	1
780	164,22,216,4	0
543	56,700,1619,192	1
543	566,4,700,663	0
889	515,226,134,55	1
889	302,269,831,471	0
436	974,1206,592,26	1
436	367,785,217,592	0
151	318,473,204,462	1
151	663,321,462,605	0
622	1039,506,1419,2	1
622	395,215,2,506	0
383	513,660,488,223	1
383	223,272,660,504	0
92	100,250,184,233	1
92	196,501,233,692	0
913	7,132,276,729	1
913	430,57,4,132	0
230	98,570,693,25	1
230	172,202,25,10	0
399	147,544,173,227	1
399	418,554,173,228	0
200	392,45,597,576	1
200	392,8,280,196	0
623	50,121,127,202	1
623	163,258,216,121	0
846	212,662,747,161	1
846	1055,655,662,443	0
307	463,163,82,210	1
307	463,505,660,1028	0
92	789,24,134,674	1
92	115,118,1074,24	0
308	50,1211,463,107	1
308	50,91,28,678	0
2	272,306,286,14	1
2	299,295,274,286	0
14	210,186,603,596	1
14	210,920,762,211	0
389	484,205,728,72	1
389	693,756,105,946	0
221	272,358,222,257	1
221	358,230,485,121	0
593	161,747,392,609	1
593	724,747,392,233	0
745	98,50,531,285	1
745	286,20,603,203	0
383	340,19,479,528	1
383	124,58,475,302	0
605	14,619,294,827	1
605	597,300,879,153	0
64	179,82,679,217	1
64	82,679,239,217	0
198	174,70,156,631	1
198	128,581,480,58	0
